customer_id,region,usage_type,date,raw_hardness_ppm,treated_hardness_ppm,daily_usage_liters,system_uptime_percent,days_since_maintenance,reduction_percent,performance_status,risk_flag,cluster,cluster_label
1051,Mumbai,Agriculture,2023-06-01,434,166,533,99.64049047900306,70,61.75115207373272,Excellent,True,2,Maintenance Risk
1092,Nashik,Residential,2023-06-02,468,247,1235,90.17226411619257,17,47.22222222222222,Average,False,0,Low Performance
1014,Pune,Residential,2023-06-03,448,216,474,90.05966431226841,26,51.78571428571429,Average,False,2,Maintenance Risk
1071,Nashik,Residential,2023-06-04,473,193,1182,89.67867858305058,21,59.19661733615222,Average,True,0,Low Performance
1060,Mumbai,Residential,2023-06-05,591,262,1166,86.83167273886431,72,55.668358714044,Average,True,1,Efficient High Usage
1020,Pune,Industrial,2023-06-06,660,198,306,86.66705720998019,21,70.0,Excellent,True,2,Maintenance Risk
1082,Pune,Industrial,2023-06-07,469,212,879,94.72157551801185,11,54.79744136460555,Average,False,0,Low Performance
1086,Mumbai,Industrial,2023-06-08,489,202,1419,98.12677066837072,38,58.69120654396728,Average,False,0,Low Performance
1074,Mumbai,Industrial,2023-06-09,659,190,1241,96.8578076540751,72,71.16843702579666,Excellent,True,1,Efficient High Usage
1074,Mumbai,Industrial,2023-06-10,525,189,631,87.11661391032027,88,64.0,Excellent,True,1,Efficient High Usage
1087,Nashik,Residential,2023-06-11,630,116,1345,93.183731826881,35,81.58730158730158,Excellent,False,0,Low Performance
1099,Nashik,Residential,2023-06-12,694,117,265,86.5838731896496,14,83.14121037463977,Excellent,True,2,Maintenance Risk
1023,Pune,Residential,2023-06-13,528,272,742,85.67941965419617,14,48.48484848484848,Average,True,2,Maintenance Risk
1002,Mumbai,Residential,2023-06-14,679,215,1279,94.8457878907715,10,68.33578792341679,Excellent,False,0,Low Performance
1021,Pune,Industrial,2023-06-15,499,192,1307,93.02728500520526,12,61.523046092184366,Excellent,False,0,Low Performance
1052,Pune,Industrial,2023-06-16,696,280,189,86.23035527817207,38,59.77011494252874,Average,True,2,Maintenance Risk
1001,Pune,Industrial,2023-06-17,581,190,1217,85.52408869608983,34,67.29776247848537,Excellent,True,0,Low Performance
1087,Pune,Agriculture,2023-06-18,573,181,112,99.84634620114002,41,68.41186736474695,Excellent,False,2,Maintenance Risk
1029,Mumbai,Residential,2023-06-19,587,167,1072,85.45031998223608,10,71.55025553662692,Excellent,True,0,Low Performance
1037,Pune,Residential,2023-06-20,456,292,1957,91.6679237957524,17,35.96491228070175,Poor,False,0,Low Performance
1001,Mumbai,Industrial,2023-06-21,430,213,904,92.56928536911543,17,50.46511627906977,Average,False,0,Low Performance
1063,Mumbai,Residential,2023-06-22,483,100,1044,86.75920221700667,67,79.29606625258799,Excellent,True,1,Efficient High Usage
1059,Nashik,Residential,2023-06-23,551,157,841,87.53592667659575,62,71.50635208711434,Excellent,True,2,Maintenance Risk
1020,Mumbai,Industrial,2023-06-24,435,253,1957,90.27707509615529,1,41.83908045977012,Average,False,0,Low Performance
1032,Nashik,Agriculture,2023-06-25,612,208,1927,96.42513814320496,12,66.01307189542483,Excellent,False,0,Low Performance
1075,Mumbai,Agriculture,2023-06-26,505,247,1561,92.606236360904,4,51.08910891089109,Average,False,0,Low Performance
1057,Mumbai,Agriculture,2023-06-27,619,215,1661,94.56852811829442,42,65.26655896607431,Excellent,False,0,Low Performance
1021,Mumbai,Industrial,2023-06-28,562,186,1710,99.77761832636013,13,66.90391459074732,Excellent,False,0,Low Performance
1088,Nashik,Residential,2023-06-29,619,109,975,96.52008152969816,85,82.39095315024232,Excellent,True,1,Efficient High Usage
1048,Nashik,Industrial,2023-06-30,669,158,1934,91.51542247211826,86,76.38266068759341,Excellent,True,1,Efficient High Usage
1090,Pune,Industrial,2023-07-01,519,140,1273,91.69662882694824,4,73.02504816955684,Excellent,False,0,Low Performance
1058,Nashik,Residential,2023-07-02,581,204,759,94.28158115561509,82,64.8881239242685,Excellent,True,1,Efficient High Usage
1041,Nashik,Agriculture,2023-07-03,505,232,1131,94.98047812628356,69,54.05940594059406,Average,True,1,Efficient High Usage
1091,Nashik,Agriculture,2023-07-04,616,221,1152,92.51066388755008,19,64.12337662337663,Excellent,False,0,Low Performance
1059,Nashik,Industrial,2023-07-05,604,292,395,94.6729183422247,2,51.65562913907284,Average,False,2,Maintenance Risk
1079,Pune,Agriculture,2023-07-06,469,244,1085,85.35298741621148,12,47.97441364605544,Average,True,0,Low Performance
1014,Nashik,Industrial,2023-07-07,443,121,1025,91.44434295845268,81,72.686230248307,Excellent,True,1,Efficient High Usage
1061,Mumbai,Industrial,2023-07-08,627,197,1844,89.18407114110215,74,68.58054226475278,Excellent,True,1,Efficient High Usage
1061,Mumbai,Residential,2023-07-09,583,268,739,86.93761667864666,6,54.03087478559176,Average,True,2,Maintenance Risk
1046,Nashik,Residential,2023-07-10,506,167,439,86.49319769213163,8,66.99604743083005,Excellent,True,2,Maintenance Risk
1061,Nashik,Residential,2023-07-11,483,296,727,94.04788248422,51,38.71635610766045,Poor,False,2,Maintenance Risk
1050,Mumbai,Industrial,2023-07-12,649,238,538,92.85400820728918,11,63.32819722650231,Excellent,False,2,Maintenance Risk
1054,Mumbai,Residential,2023-07-13,420,155,1267,88.80376175494554,63,63.095238095238095,Excellent,True,1,Efficient High Usage
1063,Pune,Agriculture,2023-07-14,595,278,1041,92.06425088158772,57,53.27731092436975,Average,False,1,Efficient High Usage
1002,Mumbai,Agriculture,2023-07-15,577,248,929,92.38348472773612,12,57.01906412478336,Average,False,0,Low Performance
1050,Mumbai,Industrial,2023-07-16,406,198,1870,87.92513470657924,73,51.231527093596064,Average,True,1,Efficient High Usage
1006,Nashik,Industrial,2023-07-17,469,175,618,94.78139592822475,2,62.68656716417911,Excellent,False,2,Maintenance Risk
1020,Mumbai,Residential,2023-07-18,526,125,1075,96.71379034579137,8,76.23574144486692,Excellent,False,0,Low Performance
1072,Pune,Industrial,2023-07-19,559,214,1168,96.87195311334278,11,61.71735241502684,Excellent,False,0,Low Performance
1038,Mumbai,Industrial,2023-07-20,647,246,1054,94.03704746055185,53,61.97836166924265,Excellent,False,1,Efficient High Usage
1017,Nashik,Agriculture,2023-07-21,602,208,1362,92.6745787377852,10,65.4485049833887,Excellent,False,0,Low Performance
1003,Nashik,Agriculture,2023-07-22,547,287,1051,85.91510714508092,85,47.53199268738574,Average,True,1,Efficient High Usage
1088,Mumbai,Residential,2023-07-23,542,298,1043,89.31746948277409,84,45.018450184501845,Average,True,1,Efficient High Usage
1059,Nashik,Industrial,2023-07-24,598,146,254,86.39907170167255,8,75.58528428093646,Excellent,True,2,Maintenance Risk
1013,Pune,Industrial,2023-07-25,553,170,1304,99.4573474131771,36,69.25858951175407,Excellent,False,0,Low Performance
1008,Pune,Agriculture,2023-07-26,541,253,1338,87.02620219338641,76,53.23475046210721,Average,True,1,Efficient High Usage
1089,Mumbai,Industrial,2023-07-27,564,139,187,87.27663114776654,14,75.35460992907801,Excellent,True,2,Maintenance Risk
1052,Mumbai,Agriculture,2023-07-28,420,232,1379,98.3436492749574,54,44.761904761904766,Average,False,1,Efficient High Usage
1001,Mumbai,Residential,2023-07-29,481,248,1634,99.15892425214687,85,48.44074844074844,Average,True,1,Efficient High Usage
1083,Nashik,Agriculture,2023-07-30,468,231,1196,96.48743558852364,86,50.64102564102564,Average,True,1,Efficient High Usage
1091,Pune,Industrial,2023-07-31,530,122,1030,85.08107385509005,21,76.9811320754717,Excellent,True,0,Low Performance
1059,Pune,Residential,2023-08-01,486,205,278,85.02019406434846,50,57.81893004115226,Average,True,2,Maintenance Risk
1070,Nashik,Agriculture,2023-08-02,617,183,311,90.67151154681176,39,70.34035656401944,Excellent,False,2,Maintenance Risk
1043,Pune,Agriculture,2023-08-03,560,242,1928,87.1509305501634,20,56.785714285714285,Average,True,0,Low Performance
1007,Mumbai,Residential,2023-08-04,577,215,1357,85.27579213227396,88,62.73830155979204,Excellent,True,1,Efficient High Usage
1046,Mumbai,Residential,2023-08-05,516,208,564,91.96100034106756,87,59.68992248062015,Average,True,1,Efficient High Usage
1034,Mumbai,Agriculture,2023-08-06,595,235,1874,99.14592846110456,7,60.50420168067227,Excellent,False,0,Low Performance
1077,Pune,Industrial,2023-08-07,485,140,1346,89.85729362353646,9,71.1340206185567,Excellent,True,0,Low Performance
1080,Mumbai,Agriculture,2023-08-08,688,211,730,94.91711017643044,1,69.3313953488372,Excellent,False,0,Low Performance
1035,Nashik,Residential,2023-08-09,480,246,924,94.7835302969866,26,48.75,Average,False,0,Low Performance
1049,Nashik,Agriculture,2023-08-10,551,211,1387,88.76620155497751,38,61.705989110707804,Excellent,True,0,Low Performance
1003,Pune,Residential,2023-08-11,460,202,1330,94.75637873235796,38,56.086956521739125,Average,False,0,Low Performance
1001,Nashik,Residential,2023-08-12,460,145,706,88.18500961430337,61,68.47826086956522,Excellent,True,2,Maintenance Risk
1005,Nashik,Industrial,2023-08-13,427,255,984,86.83011120365333,44,40.28103044496487,Average,True,1,Efficient High Usage
1053,Pune,Residential,2023-08-14,442,167,1857,95.52074928339536,86,62.21719457013575,Excellent,True,1,Efficient High Usage
1003,Mumbai,Residential,2023-08-15,568,221,465,86.70161225655875,44,61.09154929577465,Excellent,True,2,Maintenance Risk
1053,Mumbai,Industrial,2023-08-16,485,114,375,99.95363827884032,74,76.49484536082474,Excellent,True,2,Maintenance Risk
1092,Mumbai,Residential,2023-08-17,576,264,479,87.75178601725344,62,54.16666666666666,Average,True,2,Maintenance Risk
1062,Pune,Industrial,2023-08-18,416,228,1866,93.91212794134688,6,45.19230769230769,Average,False,0,Low Performance
1017,Nashik,Industrial,2023-08-19,497,294,1432,91.17061857118884,17,40.845070422535215,Average,False,0,Low Performance
1089,Mumbai,Residential,2023-08-20,597,210,1754,86.89579633608501,51,64.82412060301507,Excellent,True,1,Efficient High Usage
1043,Mumbai,Residential,2023-08-21,497,123,1391,85.4176586136612,38,75.25150905432596,Excellent,True,0,Low Performance
1033,Pune,Agriculture,2023-08-22,464,126,1044,94.3409842343925,24,72.84482758620689,Excellent,False,0,Low Performance
1073,Mumbai,Industrial,2023-08-23,404,139,1908,97.10136345683688,51,65.5940594059406,Excellent,False,0,Low Performance
1061,Pune,Agriculture,2023-08-24,401,290,1187,97.63023492260116,10,27.680798004987533,Poor,False,0,Low Performance
1099,Nashik,Residential,2023-08-25,421,288,909,92.24070209615402,72,31.59144893111639,Poor,True,1,Efficient High Usage
1013,Pune,Agriculture,2023-08-26,511,263,1473,96.66183200773578,21,48.53228962818004,Average,False,0,Low Performance
1094,Pune,Industrial,2023-08-27,456,123,1024,95.09270700232815,70,73.02631578947368,Excellent,True,1,Efficient High Usage
1047,Pune,Agriculture,2023-08-28,465,123,593,95.863817912487,85,73.54838709677419,Excellent,True,2,Maintenance Risk
1014,Pune,Industrial,2023-08-29,497,103,1646,92.3889850783272,57,79.27565392354124,Excellent,False,1,Efficient High Usage
1071,Nashik,Residential,2023-08-30,543,166,1221,94.5011761036319,39,69.42909760589319,Excellent,False,0,Low Performance
1077,Nashik,Residential,2023-08-31,524,133,1194,97.08288870364086,88,74.61832061068702,Excellent,True,1,Efficient High Usage
1086,Mumbai,Industrial,2023-09-01,566,284,463,90.96826263335537,33,49.82332155477032,Average,False,2,Maintenance Risk
1061,Nashik,Residential,2023-09-02,485,276,669,97.08968351301375,59,43.09278350515464,Average,False,2,Maintenance Risk
1039,Nashik,Residential,2023-09-03,475,280,1925,93.88025264183594,18,41.05263157894737,Average,False,0,Low Performance
1084,Mumbai,Residential,2023-09-04,693,215,862,87.4885153655618,56,68.97546897546898,Excellent,True,2,Maintenance Risk
1079,Nashik,Residential,2023-09-05,458,122,375,85.37026235836876,57,73.36244541484717,Excellent,True,2,Maintenance Risk
1081,Pune,Industrial,2023-09-06,537,208,149,90.44130400598728,76,61.26629422718808,Excellent,True,2,Maintenance Risk
1052,Pune,Agriculture,2023-09-07,498,168,1481,93.2004449244451,48,66.26506024096386,Excellent,False,0,Low Performance
1023,Mumbai,Agriculture,2023-09-08,591,194,827,97.59730528305232,42,67.17428087986464,Excellent,False,2,Maintenance Risk
1025,Mumbai,Residential,2023-09-09,642,280,1005,86.91228520210369,27,56.38629283489096,Average,True,0,Low Performance
1088,Mumbai,Agriculture,2023-09-10,448,161,1027,97.0030952152537,74,64.0625,Excellent,True,1,Efficient High Usage
1059,Pune,Agriculture,2023-09-11,431,268,663,97.9451356910084,52,37.81902552204176,Poor,False,2,Maintenance Risk
1040,Nashik,Residential,2023-09-12,676,156,882,87.2603123050125,42,76.92307692307693,Excellent,True,2,Maintenance Risk
1028,Pune,Residential,2023-09-13,419,287,584,97.77391478956328,32,31.5035799522673,Poor,False,2,Maintenance Risk
1014,Mumbai,Agriculture,2023-09-14,553,153,1207,99.87180351764188,26,72.33273056057867,Excellent,False,0,Low Performance
1044,Nashik,Industrial,2023-09-15,467,169,1928,95.90258246572355,25,63.81156316916488,Excellent,False,0,Low Performance
1064,Nashik,Residential,2023-09-16,613,200,1761,96.77154522737482,75,67.37357259380097,Excellent,True,1,Efficient High Usage
1088,Pune,Industrial,2023-09-17,542,156,1931,99.9162290133831,23,71.21771217712177,Excellent,False,0,Low Performance
1070,Mumbai,Agriculture,2023-09-18,631,237,683,94.08221875788918,57,62.4405705229794,Excellent,False,2,Maintenance Risk
1008,Pune,Residential,2023-09-19,612,267,1419,89.61829573024374,52,56.372549019607845,Average,True,1,Efficient High Usage
1087,Nashik,Industrial,2023-09-20,478,234,335,97.56296251114084,87,51.04602510460251,Average,True,2,Maintenance Risk
1000,Pune,Residential,2023-09-21,613,202,155,94.21728666267448,31,67.04730831973899,Excellent,False,2,Maintenance Risk
1007,Pune,Agriculture,2023-09-22,515,265,459,93.71793135581434,64,48.54368932038835,Average,True,2,Maintenance Risk
1087,Mumbai,Industrial,2023-09-23,491,184,209,88.80453333271058,71,62.52545824847251,Excellent,True,2,Maintenance Risk
1062,Mumbai,Agriculture,2023-09-24,669,160,291,96.3450140437433,33,76.08370702541106,Excellent,False,2,Maintenance Risk
1010,Nashik,Agriculture,2023-09-25,567,102,1003,86.22500913790144,85,82.01058201058201,Excellent,True,1,Efficient High Usage
1080,Pune,Residential,2023-09-26,457,227,1216,98.86430606191992,2,50.32822757111597,Average,False,0,Low Performance
1007,Pune,Industrial,2023-09-27,683,278,961,89.88735191155727,18,59.29721815519766,Average,True,0,Low Performance
1034,Pune,Agriculture,2023-09-28,425,185,667,86.91661979184985,47,56.47058823529412,Average,True,2,Maintenance Risk
1034,Nashik,Agriculture,2023-09-29,465,146,1183,91.63549799653627,33,68.60215053763442,Excellent,False,0,Low Performance
1032,Nashik,Industrial,2023-09-30,647,295,749,85.637048638848,84,54.404945904173104,Average,True,1,Efficient High Usage
1004,Mumbai,Agriculture,2023-10-01,653,175,138,95.2693929139745,35,73.20061255742726,Excellent,False,2,Maintenance Risk
1040,Mumbai,Agriculture,2023-10-02,443,137,1663,98.54058265668034,51,69.07449209932281,Excellent,False,0,Low Performance
1027,Mumbai,Industrial,2023-10-03,496,263,1172,97.55894510707763,18,46.9758064516129,Average,False,0,Low Performance
1006,Pune,Industrial,2023-10-04,441,268,1543,86.91054210171822,88,39.229024943310655,Poor,True,1,Efficient High Usage
1072,Pune,Industrial,2023-10-05,626,296,736,86.89406705661598,72,52.71565495207668,Average,True,1,Efficient High Usage
1071,Mumbai,Industrial,2023-10-06,661,240,1136,97.20151723486396,30,63.69137670196672,Excellent,False,0,Low Performance
1011,Pune,Residential,2023-10-07,566,186,135,98.86381411904674,44,67.13780918727915,Excellent,False,2,Maintenance Risk
1033,Mumbai,Industrial,2023-10-08,678,157,200,91.91004744750234,53,76.84365781710915,Excellent,False,2,Maintenance Risk
1032,Nashik,Residential,2023-10-09,488,149,1917,92.48456675370647,10,69.4672131147541,Excellent,False,0,Low Performance
1047,Mumbai,Residential,2023-10-10,577,129,1209,89.77393062078589,87,77.64298093587522,Excellent,True,1,Efficient High Usage
1022,Nashik,Residential,2023-10-11,596,289,1639,98.41397677384622,52,51.51006711409396,Average,False,0,Low Performance
1061,Pune,Agriculture,2023-10-12,666,200,1346,94.67354357938534,49,69.96996996996997,Excellent,False,0,Low Performance
1087,Mumbai,Residential,2023-10-13,667,124,1461,89.32377365751053,11,81.40929535232384,Excellent,True,0,Low Performance
1036,Pune,Residential,2023-10-14,473,211,265,89.48174306581377,66,55.391120507399584,Average,True,2,Maintenance Risk
1098,Nashik,Agriculture,2023-10-15,407,254,482,98.36800109595404,58,37.59213759213759,Poor,False,2,Maintenance Risk
1043,Nashik,Agriculture,2023-10-16,696,278,1979,85.20451035858733,36,60.05747126436781,Excellent,True,0,Low Performance
1085,Nashik,Agriculture,2023-10-17,563,284,1499,89.84089859089957,33,49.55595026642984,Average,True,0,Low Performance
1090,Pune,Industrial,2023-10-18,484,225,1594,93.31535021824554,47,53.51239669421488,Average,False,1,Efficient High Usage
1034,Pune,Agriculture,2023-10-19,471,222,889,87.22326193148987,13,52.86624203821656,Average,True,0,Low Performance
1064,Pune,Agriculture,2023-10-20,454,146,1765,86.38148131299384,40,67.84140969162996,Excellent,True,0,Low Performance
1098,Pune,Residential,2023-10-21,446,217,130,97.2291449663584,89,51.34529147982063,Average,True,2,Maintenance Risk
1046,Nashik,Agriculture,2023-10-22,637,138,1498,98.4160658297276,68,78.33594976452119,Excellent,True,1,Efficient High Usage
1077,Nashik,Industrial,2023-10-23,503,115,110,97.35409631197284,42,77.13717693836978,Excellent,False,2,Maintenance Risk
1002,Mumbai,Agriculture,2023-10-24,609,121,1425,98.4818183460602,19,80.13136288998358,Excellent,False,0,Low Performance
1000,Mumbai,Industrial,2023-10-25,441,153,195,93.29667956587558,82,65.3061224489796,Excellent,True,2,Maintenance Risk
1004,Pune,Agriculture,2023-10-26,667,248,1313,97.18387181485512,19,62.81859070464768,Excellent,False,0,Low Performance
1089,Nashik,Agriculture,2023-10-27,662,299,552,90.7606395758665,58,54.833836858006045,Average,False,2,Maintenance Risk
1013,Nashik,Agriculture,2023-10-28,658,115,291,94.99401792218558,23,82.52279635258358,Excellent,False,2,Maintenance Risk
1026,Nashik,Agriculture,2023-10-29,682,158,585,99.83253297083746,54,76.83284457478005,Excellent,False,2,Maintenance Risk
1008,Mumbai,Industrial,2023-10-30,513,130,1389,88.38591585758691,80,74.6588693957115,Excellent,True,1,Efficient High Usage
