customer_id,region,usage_type,daily_usage_liters,system_uptime_percent,reduction_percent,days_since_maintenance,complaint_count,maintenance_urgency,cluster_label,cluster_description,recommendation,install_month
CUST_0,Nashik,Industrial,1210,92.62,75.53,79,3,0.85,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-01
CUST_1,Mumbai,Residential,893,73.31,56.24,50,4,0.68,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_2,Nashik,Industrial,1695,84.03,75.65,81,4,0.96,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_3,Nashik,Residential,3988,72.13,76.41,63,3,0.87,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_4,Mumbai,Industrial,899,87.95,81.71,65,2,0.74,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_5,Mumbai,Industrial,813,77.93,76.04,72,5,0.92,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_6,Nashik,Residential,2195,85.83,93.46,70,3,0.82,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_7,Pune,Industrial,2431,85.52,54.86,38,0,0.44,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-01
CUST_8,Nashik,Agricultural,3341,97.73,92.55,111,0,1.14,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_9,Nashik,Residential,1366,86.47,71.92,90,0,1.04,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_10,Nashik,Agricultural,3186,87.49,78.6,9,0,0.1,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_11,Nashik,Residential,2257,82.05,49.97,13,1,0.16,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_12,Mumbai,Industrial,2953,98.47,64.03,24,2,0.24,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_13,Nashik,Industrial,1109,93.32,83.47,25,1,0.27,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-06
CUST_14,Pune,Industrial,2480,78.56,80.35,21,4,0.27,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
